mileage,tax,mpg,engineSize,price
13303,145,40.4,2.0,24400
2752,145,44.8,1.5,18750
23307,160,49.6,2.0,16500
34551,150,67.3,1.0,11000
25457,150,68.9,1.6,13400
12167,150,50.4,1.4,20000
23237,20,67.3,2.0,15400
11863,160,50.4,2.0,15500
21225,145,72.4,2.0,14800
32083,30,61.4,2.0,17100
17039,145,55.4,2.0,25750
72026,0,74.3,2.0,11750
34824,0,67.3,1.0,11200
20351,30,55.4,1.4,12800
58028,145,52.3,2.0,16000
44783,145,62.8,2.0,20000
60604,20,67.3,2.0,11950
39998,30,65.7,2.0,9400
20852,30,65.7,2.0,20000
79728,30,64.2,2.0,13300
29095,20,64.2,2.0,18500
98940,0,74.3,1.6,8300
22780,30,58.9,1.4,13500
20832,150,47.1,2.0,19800
29196,145,55.4,2.0,15400
14392,145,53.3,1.4,13900
20070,145,52.3,1.4,15600
89334,30,62.8,3.0,16200
21428,0,67.3,1.0,10600
45485,20,70.6,2.0,14300
32704,30,60.1,2.0,14700
42209,145,42.2,2.0,19100
17278,145,48.7,1.4,18100
29515,0,67.3,1.0,11400
43662,20,67.3,2.0,11600
45225,145,62.8,2.0,17300
45491,30,61.4,2.0,16400
52267,235,37.7,2.0,17100
40807,125,50.4,1.8,11498
65959,160,49.6,2.0,11698
47648,260,35.8,2.0,18998
27948,145,40.9,2.0,25498
31169,145,49.6,1.8,10498
42011,145,47.1,2.0,9498
56115,160,50.4,3.0,19998
65835,125,61.4,2.0,16798
63383,145,45.6,3.0,23998
34011,145,34.0,3.0,36998
52132,160,49.6,3.0,13998
38787,145,55.4,2.0,15995
34554,150,55.4,1.4,13495
17502,145,40.4,2.0,30985
3000,145,40.9,2.0,29485
34646,30,61.4,2.0,16985
18000,150,56.5,2.0,26485
17085,150,47.9,1.4,23985
48166,20,72.4,1.6,12485
38421,205,47.1,2.0,22485
46637,30,61.4,2.0,16498
24468,0,74.3,1.6,11998
29343,200,47.1,2.0,24985
8449,145,51.4,1.6,17985
34679,30,65.7,2.0,20485
23860,145,60.1,1.0,16985
21009,145,35.8,3.0,30985
1881,145,47.9,2.0,29985
688,145,47.9,2.0,27985
1863,145,47.9,2.0,30985
10,145,33.2,3.0,62985
49050,325,29.4,4.0,44985
1024,145,38.7,2.0,28985
448,145,39.8,2.0,24985
476,145,39.2,2.0,26985
5201,145,38.7,3.0,39985
2028,145,42.2,1.5,21985
3241,145,39.2,3.0,45485
355,145,39.2,2.0,33985
18,145,39.8,2.0,28985
3122,145,41.5,1.5,29985
824,145,40.9,1.5,28985
2811,145,47.9,2.0,31985
27,145,50.4,2.0,31985
4254,145,38.2,2.0,29485
2252,145,48.7,1.0,17985
3422,145,47.9,1.6,20985
37,145,47.9,1.6,23685
7299,145,38.2,2.0,27985
1414,145,40.9,1.5,27985
5135,145,38.2,2.0,36985
6024,145,38.2,2.0,37985
10,145,32.1,2.0,37985
10,145,33.2,3.0,49985
10,145,33.2,3.0,59995
10,145,30.7,2.0,47895
10,145,42.2,2.0,31985
47606,200,47.9,3.0,29985
26625,30,57.6,1.4,12485
5071,145,50.4,2.0,24985
28011,260,34.9,3.0,21985
10,145,47.1,2.0,34985
10,145,51.4,2.0,29985
10,145,47.1,2.0,34485
10,145,49.6,1.0,19685
10,145,53.3,2.0,34985
10,145,38.2,3.0,43885
2000,145,47.9,2.0,35895
10,145,43.5,1.5,26985
3510,145,36.2,3.0,46985
10,145,44.8,1.5,23985
10,145,39.8,2.0,28985
1010,145,39.8,2.0,27985
500,145,47.9,2.0,28985
10,145,42.8,2.0,29985
10,145,54.3,1.6,21995
10,145,39.8,2.0,31985
10,145,51.4,2.0,32485
10,145,51.4,1.6,21285
1510,145,33.2,3.0,56985
10,145,30.1,2.5,43785
29845,160,45.6,2.0,18498
27355,160,42.8,1.8,14995
20885,30,64.2,2.0,17998
10534,30,56.5,1.2,10985
25895,20,70.6,2.0,12995
32867,0,67.3,1.0,11495
42793,205,47.1,2.0,18295
49039,160,50.4,3.0,18998
22501,145,64.2,1.6,18485
1420,145,50.4,3.0,38985
10,145,40.4,2.0,29485
26939,145,62.8,2.0,22998
24786,205,47.9,3.0,18998
18761,145,51.4,1.4,17698
10,145,40.4,2.0,27995
10,145,42.8,2.0,31985
10,145,38.7,2.0,30995
22295,30,56.5,1.4,18998
18068,145,52.3,1.4,16995
25000,150,42.2,1.5,19995
23043,150,55.4,1.0,14495
80902,125,60.1,2.0,12998
10,145,50.4,2.0,32485
10,145,48.7,1.0,20485
10,145,47.1,2.0,34485
26474,145,52.3,2.0,18698
65458,235,44.1,3.0,15998
34170,150,47.1,1.8,16498
100,145,33.2,2.0,31998
650,145,47.1,2.0,35985
10,145,38.2,2.0,37985
10,145,33.2,2.0,31998
2928,145,41.5,2.0,18998
7157,145,51.4,1.4,19485
31600,160,50.4,2.0,19995
46600,300,39.2,4.0,47995
10,145,56.5,2.0,23485
14078,145,45.6,2.0,23998
13312,125,57.6,2.0,17998
10,145,50.4,2.0,28985
20982,325,29.4,4.0,46000
15600,145,50.4,2.0,26995
5429,145,47.9,2.0,33985
2710,145,40.9,1.5,30985
6423,145,33.2,3.0,52985
11017,150,67.3,1.0,12698
16908,125,51.4,1.4,17298
28801,125,49.6,2.0,16498
23362,145,50.4,1.4,16798
50025,235,37.7,2.0,15998
8450,145,32.8,3.0,63985
1790,145,50.4,2.0,27985
10,145,53.3,1.4,19485
10,145,52.3,1.4,20985
6754,145,52.3,1.6,22285
35423,200,47.9,2.0,14500
16703,200,41.5,2.0,25000
37203,125,51.4,1.4,15800
44405,125,58.9,2.0,13500
79389,165,50.4,2.0,12000
61808,125,57.6,2.0,13800
10491,0,67.3,1.0,11000
19000,150,49.6,2.0,19995
18900,0,67.3,1.0,11650
50900,20,68.9,2.0,11850
49000,325,29.7,2.0,12495
23081,235,39.8,2.0,15995
826,145,29.4,4.0,82995
5987,145,38.2,2.0,25990
2977,145,47.9,2.0,30995
7573,145,39.2,2.0,34985
3055,145,42.8,2.0,31995
22,145,38.7,2.0,29985
2250,145,51.4,2.0,28485
20547,200,47.1,2.0,21498
10,145,39.2,2.0,32895
18828,260,35.8,3.0,22998
28,145,32.1,2.0,35998
38654,200,47.9,3.0,29985
25764,200,40.4,2.0,16485
28402,30,62.8,2.0,19485
17152,30,56.5,1.4,13495
29775,20,60.1,1.4,14995
7801,145,34.0,3.0,39995
60599,240,42.8,3.0,22990
20670,30,57.6,1.4,12495
2257,145,52.3,1.6,24985
4039,145,51.4,1.6,24485
21241,125,52.3,1.4,16485
16945,160,49.6,2.0,20485
18010,145,49.6,1.4,24985
29653,145,62.8,2.0,19995
75159,260,34.9,3.0,16000
33842,200,47.9,2.0,14998
42977,20,67.3,2.0,13995
26,145,47.9,2.0,27990
17454,0,67.3,1.0,11995
17547,150,56.5,1.5,15995
314,150,34.9,2.0,35995
25010,30,58.9,1.4,13585
3278,145,47.9,2.0,31985
1285,145,39.2,3.0,32985
4445,145,47.9,2.0,30985
6998,145,38.2,2.0,34798
6746,145,45.6,2.0,40780
21245,205,47.9,3.0,34995
27394,30,64.2,2.0,18995
29283,0,67.3,1.0,12995
20905,30,56.5,1.4,14495
24386,0,67.3,1.0,12995
11621,150,42.8,2.0,24995
3409,145,43.5,1.5,20985
30172,240,42.2,3.0,31995
27016,30,62.8,2.0,13995
7456,145,40.9,2.0,31985
20,145,55.4,3.0,29490
4781,150,40.9,2.0,20495
40254,205,40.4,2.0,21995
12320,150,40.9,2.0,24995
16534,150,49.6,1.4,23995
20075,150,42.2,2.0,22995
14401,20,60.1,1.0,15995
19430,145,47.9,2.0,19995
28359,565,26.4,4.2,26995
16385,150,33.6,3.0,49995
24764,0,74.3,1.6,11995
26141,125,53.3,1.4,11995
7532,145,39.2,2.0,37331
7925,145,45.6,2.0,39454
7639,145,39.8,2.0,37507
7914,145,48.7,2.0,33462
15706,145,40.4,2.0,30995
4598,145,38.2,2.0,25990
6588,145,48.7,3.0,38995
48248,205,47.9,3.0,31995
4549,150,34.5,2.0,30995
7564,145,51.4,1.0,18995
11276,145,48.7,3.0,41995
20141,30,67.3,2.0,19995
16555,20,60.1,1.4,16995
8608,145,67.3,1.0,14495
18380,145,49.6,1.4,19995
27136,145,40.4,2.0,23995
36409,20,60.1,1.4,13995
35219,150,50.4,3.0,27995
10252,150,40.4,2.0,33995
16380,145,67.3,1.6,17490
30530,30,64.2,2.0,14990
37129,235,42.2,3.0,30995
36400,20,61.4,1.4,13995
8618,145,32.8,3.0,47995
9634,145,50.4,1.4,21995
18355,145,68.9,1.6,19995
28604,145,40.9,2.0,26995
15187,145,76.3,1.6,15995
43417,160,50.4,2.0,18990
12195,145,50.4,3.0,35995
12686,145,58.9,3.0,27995
5356,145,44.1,1.5,23995
7963,145,41.5,2.0,31265
7423,145,51.4,2.0,36312
12148,145,67.3,1.0,13995
44525,235,42.2,3.0,31995
20952,145,55.4,2.0,18495
4582,145,39.2,3.0,33490
36970,200,47.9,2.0,19995
38244,145,49.6,1.4,17995
26407,200,47.9,3.0,31995
6484,145,49.6,1.6,23995
3325,145,49.6,1.6,20995
9078,145,40.4,2.0,24995
22427,145,67.3,1.0,12995
41755,150,53.3,2.0,14995
35455,30,58.9,1.4,12490
14607,20,60.1,1.0,14298
24952,30,55.4,1.4,11498
49640,30,64.2,2.0,11998
21576,145,49.6,1.4,19998
20870,145,55.4,2.0,27995
30300,30,62.8,2.0,19995
22353,160,49.6,2.0,19995
23205,145,55.4,2.0,19995
15361,30,55.4,1.4,13995
8598,145,47.9,2.0,29995
6000,145,52.3,1.6,19990
5199,145,52.3,1.6,19990
15092,145,57.7,1.4,14995
3059,145,43.5,2.0,36990
28475,200,40.9,2.0,24995
35804,30,54.3,1.4,11490
24000,30,60.1,1.4,18495
3264,145,33.6,3.0,46990
2868,145,52.3,1.6,23995
6541,145,47.9,2.0,27990
4511,145,38.2,2.0,36990
27057,145,47.9,1.4,18995
42185,145,55.4,2.0,12990
59120,200,47.1,2.0,17995
41431,160,52.3,2.0,16498
30,145,33.2,2.0,31998
5065,145,38.2,2.0,36995
4638,145,38.2,2.0,36995
34926,325,29.4,4.0,57995
4642,145,46.3,1.6,22890
29558,20,67.3,2.0,16995
4899,145,47.9,2.0,33298
17000,20,60.1,1.4,15995
51204,145,56.5,2.0,20995
38776,30,56.5,1.4,14995
21972,145,49.6,1.4,19995
17648,145,34.5,2.5,39995
5674,145,52.3,1.4,22995
22086,145,62.8,2.0,24995
10090,145,37.7,3.0,39995
20825,145,47.9,1.4,19995
20042,30,57.6,1.4,12995
3657,145,49.6,1.6,22663
4502,145,47.9,1.6,24368
31214,30,67.3,2.0,19495
16414,145,50.4,1.4,19990
27198,145,50.4,1.4,21495
17166,145,43.5,2.0,28995
18283,145,44.1,2.0,26990
15076,145,56.5,2.0,27995
29330,145,56.5,2.0,25995
25520,145,50.4,1.4,19995
7521,145,49.6,2.0,38534
933,145,45.6,2.0,41995
6018,145,52.3,1.6,19990
11330,145,42.8,1.5,18495
23478,235,42.2,3.0,33995
17872,145,64.2,1.6,18995
4327,145,39.8,2.0,30709
4813,145,33.2,3.0,48136
3578,145,47.9,1.6,24365
4196,145,47.9,2.0,33295
32065,30,55.4,1.4,13995
15072,200,47.1,3.0,28995
50286,145,61.4,2.0,16490
25667,145,40.4,2.0,23995
33165,200,47.9,3.0,35995
27078,125,50.4,1.4,19995
29874,125,50.4,1.4,19995
28977,200,47.1,2.0,21995
28526,160,50.4,2.0,21995
14068,145,54.3,2.0,22995
6321,145,50.4,2.0,18990
4440,145,37.7,3.0,40990
2085,145,51.4,1.6,23995
2712,145,38.2,2.0,37995
3968,145,47.9,2.0,33410
6921,145,47.1,1.0,22997
50062,30,57.6,1.2,14995
31500,30,57.6,1.4,11995
21807,30,57.6,1.4,12995
7215,145,46.3,2.0,27990
5397,145,50.4,2.0,29990
4963,145,42.8,1.5,23377
13688,200,40.4,2.0,25995
19735,30,57.6,1.4,18995
22175,145,47.9,1.4,20995
13907,145,49.6,1.4,23995
20106,145,67.3,1.0,14495
7891,145,40.9,2.0,30995
4836,145,48.7,2.0,26490
4587,145,37.2,2.0,34259
5721,145,37.2,2.0,35131
4236,145,33.2,3.0,50414
18188,200,47.1,2.0,21995
41497,125,57.6,2.0,16995
13961,30,58.9,1.4,14995
10852,145,47.9,2.0,30990
10059,145,43.5,1.5,18490
5985,145,43.5,1.5,18490
6214,145,38.7,2.0,26490
5089,145,30.1,2.9,59995
2756,145,42.2,1.0,24995
4982,145,47.9,2.0,29490
41505,20,67.3,2.0,17495
26494,145,47.9,1.4,20995
23655,30,55.4,1.4,14495
3382,145,30.1,2.9,58995
17789,145,54.3,1.5,19995
5023,145,47.9,2.0,33640
6238,145,37.7,3.0,53939
4520,145,39.8,2.0,30719
5210,145,39.8,2.0,30197
3256,145,40.4,2.0,27022
5201,145,44.1,2.0,37560
28,145,33.6,3.0,49990
25747,0,67.3,1.0,12495
27000,145,55.4,1.4,14995
51562,235,42.8,3.0,24490
40030,0,83.1,1.6,13995
43099,145,56.5,2.0,19495
18842,145,55.4,1.0,17995
31894,30,64.2,3.0,19995
5712,145,51.4,2.0,30728
38540,125,58.9,2.0,18995
25552,30,56.5,1.4,13995
72283,145,54.3,3.0,18495
22809,235,42.2,3.0,34995
16103,145,65.7,2.0,19995
23745,30,57.6,1.4,13495
29593,30,62.8,2.0,16995
15300,125,53.3,1.4,13995
9185,145,48.7,1.4,25995
1592,145,39.2,1.5,25995
45644,0,80.7,1.6,10995
4488,145,33.6,3.0,48995
29156,235,42.2,3.0,33995
15837,30,58.9,1.4,12298
15264,30,61.4,2.0,15998
8211,150,49.6,1.6,18998
10962,145,50.4,1.4,21995
42187,235,42.8,3.0,28995
8128,30,55.4,1.4,15995
55697,20,70.6,2.0,13985
35446,145,54.3,2.0,13995
30366,160,50.4,2.0,18499
32090,145,40.4,2.0,27498
19300,145,47.9,1.4,15998
37478,0,74.3,2.0,13998
6266,145,38.2,2.0,24998
8577,30,55.4,1.4,13995
13147,145,67.3,1.6,18995
24336,145,61.4,2.0,22995
23813,145,55.4,1.0,17495
17633,145,52.3,1.4,21995
55220,30,64.2,2.0,16995
47952,145,56.5,2.0,22995
50500,235,44.1,3.0,19995
31147,30,56.5,1.4,15495
79,150,46.3,2.0,25998
56875,150,53.3,2.0,14500
37056,160,53.3,2.0,18995
5431,145,34.0,2.5,39995
31031,30,56.5,1.4,13995
34906,160,49.6,3.0,17995
14821,145,64.2,3.0,21995
15307,30,55.4,1.4,15495
23626,160,45.6,2.0,19995
11892,0,67.3,1.0,12995
42165,30,56.5,1.4,12995
3036,145,34.5,2.0,31795
2703,145,40.9,3.0,39995
41032,300,39.2,4.0,48995
8545,145,53.3,1.6,21495
30287,20,60.1,1.4,13498
1893,20,60.1,1.4,14998
6896,145,52.3,1.4,16998
34084,30,62.8,2.0,15498
84222,20,68.9,2.0,13985
68428,0,83.1,1.6,10385
20283,150,34.0,3.0,37500
56235,0,74.3,2.0,11500
37492,205,47.1,3.0,24500
66959,265,41.5,3.0,21500
46622,205,47.9,2.0,16000
40003,145,56.5,2.0,11995
20300,145,34.0,3.0,38900
50,145,40.4,2.0,24498
23426,125,50.4,1.4,19995
46465,30,54.3,1.4,14995
14600,145,55.4,2.0,29995
3232,145,50.4,1.0,23995
16086,30,55.4,1.4,15995
15981,145,57.6,1.4,13995
6850,145,38.2,3.0,38995
16668,145,70.6,1.6,18995
13082,145,39.8,3.0,35995
10522,145,43.5,1.5,18995
12795,145,47.1,1.0,19995
8250,145,38.2,2.0,34995
5859,145,47.9,1.6,23995
8235,145,44.1,2.0,37995
5356,145,40.9,2.0,35995
5565,145,47.9,2.0,34995
13122,145,52.3,1.4,16498
2940,145,39.2,1.5,26495
26500,200,47.1,2.0,21995
1100,145,40.4,3.0,52995
24408,145,40.4,2.0,30995
2200,145,28.8,2.9,69995
500,145,38.7,3.0,51995
47600,145,56.5,2.0,21995
17252,145,56.5,1.5,22995
49287,145,62.8,2.0,19945
47446,145,62.8,2.0,22945
14589,30,65.7,2.0,22990
41279,0,74.3,2.0,13995
3893,145,39.2,4.0,60995
3338,145,50.4,3.0,38995
4286,145,34.0,3.0,42995
22913,145,56.5,2.0,28995
4125,145,38.2,2.0,36995
4000,145,31.7,2.0,34995
5123,145,38.2,2.0,38495
5000,145,40.9,3.0,43495
6500,145,46.3,2.0,34995
29832,145,34.0,3.0,35995
11125,125,50.4,1.4,21495
11565,145,38.2,2.0,36995
10434,145,42.2,1.5,22995
61332,20,68.9,2.0,11990
22669,30,57.6,1.4,11498
14419,145,52.3,2.0,19498
37458,30,55.4,1.4,10698
23015,20,60.1,1.4,11998
26784,150,54.3,2.0,22500
7256,145,38.2,2.0,35995
24256,145,47.1,1.8,17995
11047,145,56.5,2.0,28995
19444,125,57.6,2.0,22995
30123,125,51.4,1.4,17995
7422,145,39.2,2.0,25995
40688,160,42.8,2.0,24495
5454,145,30.7,2.0,38995
12785,145,42.8,1.5,19995
7486,145,39.2,3.0,42995
9256,145,45.6,2.0,36995
13690,145,47.9,2.0,29995
25125,160,50.4,2.0,20495
6400,145,38.2,2.0,34995
3265,145,47.1,1.0,19495
17680,145,42.2,2.0,22995
38502,30,57.6,1.4,11995
36276,30,55.4,1.4,12995
23437,300,39.2,4.0,49995
20364,145,56.5,2.0,25995
22606,30,57.6,1.4,11995
100,150,39.2,2.0,29995
8503,150,33.6,2.9,52995
1296,150,34.5,2.0,28995
26307,125,60.1,2.0,16995
34685,200,47.9,3.0,33995
34728,125,57.6,2.0,18995
24427,145,55.4,1.4,14995
16763,145,55.4,1.4,12995
38484,145,55.4,1.0,15995
16837,145,39.2,4.0,52995
33523,145,58.9,2.0,19995
6402,145,52.3,1.4,17298
21944,125,49.6,2.0,15998
19383,165,46.3,2.0,16498
19118,145,47.9,2.0,25998
4436,150,32.1,2.0,38995
5978,150,30.7,4.0,83995
2235,150,49.6,1.0,19995
52496,160,50.4,2.0,16995
52255,30,61.4,2.0,18350
19686,145,68.9,1.6,15590
26705,200,47.9,3.0,12500
26705,30,58.9,1.4,12500
18120,145,57.7,1.4,12500
11966,145,47.9,1.4,18000
34728,30,57.6,1.4,14500
30547,145,70.6,1.6,16995
72406,20,68.9,2.0,13795
52822,145,64.2,2.0,19995
70228,145,54.3,3.0,18990
21637,20,67.3,2.0,15795
52006,145,54.3,2.0,12595
28994,160,50.4,2.0,20495
30,145,39.2,3.0,37995
7093,145,38.2,2.0,35995
1934,145,32.5,2.0,35495
4708,145,49.6,2.0,28995
4304,145,37.7,2.0,38995
9256,145,52.3,1.4,19495
11403,145,38.2,1.5,27995
1952,145,44.1,1.0,23995
8060,145,37.7,3.0,41995
7415,145,47.9,2.0,31700
9756,145,37.7,3.0,42000
9102,145,51.4,3.0,33500
6002,145,38.2,2.0,31000
6591,145,33.2,3.0,45000
1000,145,49.6,1.6,22495
5450,145,44.8,1.5,21995
1000,145,46.3,2.0,29809
1000,145,40.4,2.0,31995
23596,145,48.7,2.0,18000
11719,145,39.2,4.0,55500
3185,145,39.2,2.0,31500
8744,145,39.2,2.0,30995
238,145,47.9,2.0,32250
4693,145,47.1,2.0,31695
28186,145,52.3,2.0,19000
37000,145,54.3,2.0,16995
13555,30,55.4,1.4,14695
31031,235,42.2,3.0,31495
34500,160,49.6,2.0,17395
6412,145,39.2,2.0,33995
14500,20,60.1,1.4,17500
24857,0,76.3,1.6,11495
2394,145,50.4,2.0,32494
1000,145,39.2,2.0,36202
1000,145,38.2,2.0,37395
1000,145,50.4,2.0,31000
10296,145,50.4,3.0,37000
6629,145,42.2,1.5,20000
6768,145,74.3,2.0,26495
5363,145,39.8,2.0,23995
4288,145,38.2,3.0,42500
88130,30,64.2,2.0,7898
17927,145,39.2,4.0,50000
6452,145,40.4,2.0,29000
6112,145,38.7,3.0,41495
7447,145,47.9,2.0,25995
4326,145,38.2,2.0,35995
5558,145,33.6,3.0,49995
2408,145,50.4,2.0,31500
4430,145,40.9,1.5,23995
1000,145,49.6,1.6,23374
1000,145,49.6,1.6,22495
8000,0,67.3,1.0,11495
29885,30,65.7,2.0,19995
14160,145,68.9,1.6,17695
21480,145,48.7,2.0,27995
6606,145,36.2,3.0,46000
12147,145,40.4,2.0,23998
29998,20,61.4,1.4,12798
22168,145,47.9,1.4,17698
24242,0,67.3,1.0,10998
18389,145,57.7,1.5,19698
31759,30,61.4,2.0,17298
12853,145,38.2,2.0,24998
13009,145,38.2,2.0,24998
17,145,46.3,2.0,25998
32125,125,57.6,2.0,14998
17416,20,67.3,2.0,15998
27049,145,67.3,2.0,19498
81877,160,49.6,2.0,11950
27692,145,49.6,1.4,16998
35446,145,54.3,2.0,13995
45000,30,64.2,2.0,16995
6672,145,57.7,2.0,22590
10005,145,50.4,1.4,20498
2069,145,41.5,2.0,18998
24608,145,39.8,2.0,25998
36031,30,60.1,1.4,16495
28752,150,58.9,1.4,13998
58601,125,52.3,1.4,8498
21113,145,55.4,1.5,19998
66047,145,55.4,2.0,13998
24405,20,64.2,2.0,17498
43193,30,65.7,2.0,14995
22379,125,52.3,1.4,16500
36223,235,44.8,3.0,18498
39293,30,62.8,2.0,14998
13512,145,50.4,3.0,33498
61194,0,67.3,1.0,9698
58670,0,74.3,2.0,14849
36951,0,67.3,1.0,10994
34250,30,55.4,1.4,10202
32811,0,74.3,2.0,15495
31842,125,58.9,2.0,22695
22373,30,55.4,1.4,11695
34617,30,60.1,2.0,17495
48065,145,55.4,2.0,14495
26752,145,64.2,2.0,17795
12300,145,52.3,1.4,18695
24000,30,61.4,2.0,20000
61410,30,62.8,2.0,13998
57290,30,61.4,2.0,17498
18045,145,55.4,1.0,16495
13542,20,72.4,1.6,15498
38678,235,42.2,3.0,29998
19608,145,62.8,2.0,21498
8849,145,47.1,2.0,29695
13854,30,55.4,1.4,10995
37131,0,67.3,1.0,10495
60484,30,64.2,2.0,14998
71253,160,49.6,3.0,16998
32968,160,50.4,2.0,18998
53372,20,60.1,1.4,11698
24222,145,53.3,1.4,14898
36081,145,55.4,2.0,12698
11487,145,42.2,2.0,24498
52765,200,47.9,2.0,11998
2065,145,46.3,1.5,20350
8026,145,47.1,1.0,17950
31500,145,55.4,1.5,18300
3481,150,33.2,2.0,31888
31348,150,51.4,1.4,18288
27370,30,64.2,2.0,15498
15175,145,61.4,2.0,22500
11347,150,52.3,1.4,22988
24387,150,49.6,1.4,19688
26165,30,55.4,1.4,13688
14950,150,42.2,2.0,22988
44316,30,64.2,2.0,16490
35329,150,47.9,2.0,18488
34201,145,52.3,3.0,26500
21429,20,68.9,2.0,12450
35694,20,60.1,1.0,12990
40858,160,50.4,2.0,16998
19285,125,53.3,1.4,13998
35903,145,56.5,2.0,17498
40256,160,50.4,2.0,17498
7307,145,51.4,1.6,19995
2402,145,47.9,1.6,22995
4384,145,38.2,1.5,29995
1442,145,40.9,1.5,28495
4173,145,40.9,2.0,30995
3243,145,34.5,2.0,33995
3381,145,40.9,1.5,28495
7378,145,52.3,1.6,23495
4634,145,40.9,2.0,24495
7126,145,32.1,2.0,34995
556,145,47.9,1.0,20990
9547,145,54.3,1.4,19850
1904,145,31.4,2.0,33444
525,145,40.9,1.5,30888
2165,135,141.3,1.4,31990
1500,145,47.9,1.0,20888
1565,145,47.9,1.0,21490
59512,145,74.3,2.0,13450
6350,145,54.3,2.0,21488
4538,145,51.4,1.6,21288
6238,145,51.4,1.6,21288
6018,145,40.9,2.0,22888
4201,145,33.2,2.0,28888
5150,145,52.3,1.6,21888
40468,30,55.4,1.4,10988
1986,145,38.2,2.0,38888
